relative_prob_transmission,days_post_infection,proportion_transmission_abated,cumulative_transmission,cumulative_transmission_abated
0.67254699,3.76,0.001313572,0.249442922,0.750557078
0.673108978,3.77,0.00131467,0.250757592,0.749242408
0.673658645,3.78,0.001315743,0.252073335,0.747926665
0.674196008,3.79,0.001316793,0.253390127,0.746609873
0.674721086,3.8,0.001317818,0.254707946,0.745292054
0.675245604,3.81,0.001318843,0.256026788,0.743973212
0.675758195,3.82,0.001319844,0.257346632,0.742653368
0.676258874,3.83,0.001320822,0.258667454,0.741332546
0.676747659,3.84,0.001321776,0.25998923,0.74001077
0.677224567,3.85,0.001322708,0.261311938,0.738688062
0.677689617,3.86,0.001323616,0.262635554,0.737364446
0.678142828,3.87,0.001324501,0.263960055,0.736039945
0.678584222,3.88,0.001325363,0.265285419,0.734714581
0.679013821,3.89,0.001326202,0.266611621,0.733388379
0.679431647,3.9,0.001327019,0.26793864,0.73206136
0.679848417,3.91,0.001327833,0.269266472,0.730733528
0.68025375,3.92,0.001328624,0.270595096,0.729404904
0.680647665,3.93,0.001329394,0.27192449,0.72807551
0.681030183,3.94,0.001330141,0.273254631,0.726745369
0.681401327,3.95,0.001330866,0.274585496,0.725414504
0.681761119,3.96,0.001331568,0.275917065,0.724082935
0.682109584,3.97,0.001332249,0.277249313,0.722750687
0.682446746,3.98,0.001332907,0.278582221,0.721417779
0.682772631,3.99,0.001333544,0.279915765,0.720084235
0.683087265,4,0.001334158,0.281249923,0.718750077
0.683400386,4.01,0.00133477,0.282584693,0.717415307
0.683702568,4.02,0.00133536,0.283920053,0.716079947
0.683993835,4.03,0.001335929,0.285255983,0.714744017
0.684274213,4.04,0.001336477,0.286592459,0.713407541
0.684543727,4.05,0.001337003,0.287929462,0.712070538
0.684802404,4.06,0.001337508,0.289266971,0.710733029
0.685050271,4.07,0.001337992,0.290604963,0.709395037
0.685287357,4.08,0.001338455,0.291943419,0.708056581
0.68551369,4.09,0.001338898,0.293282316,0.706717684
0.685729301,4.1,0.001339319,0.294621635,0.705378365
0.685942976,4.11,0.001339736,0.295961371,0.704038629
0.686146218,4.12,0.001340133,0.297301504,0.702698496
0.686339054,4.13,0.00134051,0.298642013,0.701357987
0.686521513,4.14,0.001340866,0.299982879,0.700017121
0.686693623,4.15,0.001341202,0.301324082,0.698675918
0.686855415,4.16,0.001341518,0.3026656,0.6973344
0.687006919,4.17,0.001341814,0.304007414,0.695992586
0.687148165,4.18,0.00134209,0.305349504,0.694650496
0.687279187,4.19,0.001342346,0.306691849,0.693308151
0.687400015,4.2,0.001342582,0.308034431,0.691965569
0.687518524,4.21,0.001342813,0.309377244,0.690622756
0.687627107,4.22,0.001343025,0.31072027,0.68927973
0.687725796,4.23,0.001343218,0.312063488,0.687936512
0.687814622,4.24,0.001343392,0.313406879,0.686593121
0.687893616,4.25,0.001343546,0.314750425,0.685249575
0.687962811,4.26,0.001343681,0.316094106,0.683905894
0.688022239,4.27,0.001343797,0.317437903,0.682562097
0.688071935,4.28,0.001343894,0.318781798,0.681218202
0.688111932,4.29,0.001343972,0.32012577,0.67987423
0.688142264,4.3,0.001344032,0.321469801,0.678530199
0.68816993,4.31,0.001344086,0.322813887,0.677186113
0.68818818,4.32,0.001344121,0.324158008,0.675841992
